date, precipitation
4/2/2017,0.540734529
4/3/2017,0.659381926
4/4/2017,0.021173665
4/5/2017,0.345072925
4/6/2017,0.632320821
4/7/2017,0.059471957
4/8/2017,1.44298208
4/9/2017,4.13203621
4/10/2017,2.19413948
4/11/2017,0.377020329
4/12/2017,0.223593429
4/13/2017,0.040149201
4/14/2017,0.168986872
4/15/2017,0.109665759
4/16/2017,0.181284502
4/17/2017,0.185319781
4/18/2017,0.217038468
4/19/2017,0.678354263
4/20/2017,6.57335806
4/21/2017,4.63991594
4/22/2017,2.14597845
4/23/2017,0.231177583
4/24/2017,5.70985842
4/25/2017,9.63887787
4/26/2017,3.56354737
4/27/2017,1.24288869
4/28/2017,0.148275539
4/29/2017,0.157842606
4/30/2017,0.242519602
5/1/2017,0.135942042
5/2/2017,0.571797192
5/3/2017,0.638626814
5/4/2017,0.095873073
5/5/2017,0.239585787
5/6/2017,0.419805408
5/7/2017,0.185561761
5/8/2017,0.569414675
5/9/2017,0.883463323
5/10/2017,0.17842567
5/11/2017,0.170532569
5/12/2017,0.491066962
5/13/2017,1.78355885
5/14/2017,3.21289182
5/15/2017,0.701906085
5/16/2017,0.808176935
5/17/2017,1.22154379
5/18/2017,8.11605835
5/19/2017,13.3988619
5/20/2017,2.01013327
5/21/2017,0.09834066
5/22/2017,0.933916986
5/23/2017,2.66336751
5/24/2017,0.405074626
5/25/2017,0.022746518
5/26/2017,0.052859094
5/27/2017,1.88280821
5/28/2017,0.581089318
5/29/2017,0.051567927
5/30/2017,0.646449387
5/31/2017,0.933903635
6/1/2017,0.802261412
6/2/2017,0.748340487
6/3/2017,0.470491022
6/4/2017,0.200189471
6/5/2017,0.465509623
6/6/2017,4.81419277
6/7/2017,1.52816308
6/8/2017,1.00018442
6/9/2017,3.31000471
6/10/2017,1.12444615
6/11/2017,1.9347136
6/12/2017,2.55589581
6/13/2017,0.153395474
6/14/2017,0.125805646
6/15/2017,0.508836567
6/16/2017,2.10250092
6/17/2017,1.10138571
6/18/2017,0.271409541
6/19/2017,0.15934813
6/20/2017,0.019405615
