datetime, avg_next_24h, min_next_24h, max_next_24h, hd_next_24h, cd_next_24h
2018-10-07 13:30:00,16.4528571428571429,13.50,20.20,0.5471428571428571,0
2018-10-07 14:00:00,16.4900000000000000,13.50,20.20,0.5100000000000000,0
2018-10-07 14:09:00,16.4884057971014493,13.50,20.20,0.5115942028985507,0
2018-10-07 14:28:00,16.4897058823529412,13.50,20.20,0.5102941176470588,0
2018-10-07 14:30:00,16.5294117647058824,13.50,20.20,0.4705882352941176,0
2018-10-07 15:00:00,16.5632352941176471,13.50,20.20,0.4367647058823529,0
2018-10-07 15:09:00,16.5823529411764706,13.50,20.20,0.4176470588235294,0
2018-10-07 15:22:00,16.6191176470588235,13.50,20.20,0.3808823529411765,0
2018-10-07 15:30:00,16.6647058823529412,13.50,20.20,0.3352941176470588,0
2018-10-07 15:35:00,16.6716417910447761,13.50,20.20,0.3283582089552239,0
2018-10-07 15:37:00,16.6787878787878788,13.50,20.20,0.3212121212121212,0
2018-10-07 16:00:00,16.7272727272727273,13.50,20.20,0.2727272727272727,0
2018-10-07 16:18:00,16.7940298507462687,13.50,20.20,0.2059701492537313,0
2018-10-07 16:30:00,16.8462686567164179,13.50,20.20,0.1537313432835821,0
2018-10-07 16:37:00,16.8575757575757576,13.50,20.20,0.1424242424242424,0
2018-10-07 17:00:00,16.8969696969696970,13.50,20.20,0.1030303030303030,0
2018-10-07 17:18:00,16.9092307692307692,13.50,20.20,0.0907692307692308,0
2018-10-07 17:30:00,16.9461538461538462,13.50,20.20,0.0538461538461538,0
2018-10-07 18:00:00,16.9676923076923077,13.50,20.20,0.0323076923076923,0
2018-10-07 18:30:00,16.9830769230769231,13.50,20.20,0.0169230769230769,0
2018-10-07 19:00:00,17.0015384615384615,13.50,20.20,0,0
2018-10-07 19:30:00,17.0184615384615385,13.50,20.20,0,0
2018-10-07 19:55:00,17.0390625000000000,13.50,20.20,0,0
2018-10-07 20:00:00,17.0593750000000000,13.50,20.20,0,0
2018-10-07 20:30:00,17.0796875000000000,13.50,20.20,0,0
2018-10-07 21:00:00,17.0906250000000000,13.50,20.20,0,0
2018-10-07 21:01:00,17.1349206349206349,13.50,20.20,0,0
2018-10-07 21:30:00,17.1412698412698413,13.50,20.20,0,0
2018-10-07 22:00:00,17.1333333333333333,13.50,20.20,0,0
2018-10-07 22:01:00,17.1741935483870968,13.50,20.20,0,0
2018-10-07 22:30:00,17.1629032258064516,13.50,20.20,0,0
2018-10-07 23:00:00,17.1338709677419355,12.80,20.20,0,0
2018-10-07 23:30:00,17.0365079365079365,12.60,20.20,0,0
2018-10-08 00:00:00,16.9593750000000000,12.60,20.20,0.0406250000000000,0
2018-10-08 00:30:00,16.8938461538461538,12.60,20.20,0.1061538461538462,0
2018-10-08 01:00:00,16.8242424242424242,12.60,20.20,0.1757575757575758,0
2018-10-08 01:30:00,16.8136363636363636,12.60,20.20,0.1863636363636364,0
2018-10-08 02:00:00,16.7954545454545455,12.50,20.20,0.2045454545454545,0
2018-10-08 02:30:00,16.7621212121212121,12.00,20.20,0.2378787878787879,0
2018-10-08 03:00:00,16.6537313432835821,11.80,20.20,0.3462686567164179,0
2018-10-08 03:30:00,16.5500000000000000,11.80,20.20,0.4500000000000000,0
